value,id,order
学校でプログラミングを学んだことがある,1,1
趣味や独学でプログラミングを学んだことがある,2,2
フロントエンド（クライアントサイド）での実装経験がある,3,3
バックエンド（サーバーサイド）での実装経験がある,4,4
ゲーム制作をしたことがある,5,5
アプリ開発をしたことがある,6,6
チーム開発をしたことがある,7,7
アルバイトやインターンでの開発実務経験がある,8,8
Linuxを使用したことがある,9,9
ミドルウェアを使用したことがある,10,10
インフラ構築の経験がある,11,11
環境構築をしたことがある,12,12
データサイエンスや機械学習の知見がある,13,13
プログラミングサークル所属,14,14
ハッカソンに参加したことがある,15,15
プログラミングコンテストに参加したことがある,16,16
ロボコンに参加したことがある,17,17
GitHubにリポジトリを公開している,18,18
ポートフォリオサイトを公開している,19,19
インターネットに情報公開したことがある,20,20
SNSやブログ等での技術についての発信経験がある,21,21
